"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,276800,37740.7894736842,80347.1390374332,14359.05,118105.71405668,2201383.24757076,2,97839.2554475893,7.59950864206347,1826743.99212317
"Bay of Plenty",3548,70960,1677.36842105263,3570.98395721925,638.18,5249.14284696356,97839.2554475893,2,97839.2554475893,0,-70960
"Canterbury",10520,210400,28515.2631578947,60706.7272727273,10849.06,89235.4283983806,1663267.34260902,2,97839.2554475893,7.44024756255432,1355028.08716143
"Capital and Coast",8250,165000,3354.73684210526,7141.9679144385,1276.36,10498.2856939271,195678.510895179,3,146758.883171384,0.296482592265422,-116080.372276205
"Counties Manukau",16008,320160,21805.7894736842,46422.7914438503,8296.34,68238.8570105263,1271910.32081866,3,146758.883171384,3.51434107211168,804991.437647277
"Hawke's Bay",2991,59820,4193.42105263158,8927.45989304813,1595.45,13122.8571174089,244598.138618973,2,97839.2554475893,2.45334141042099,86938.8831713839
"Hutt Valley",3477,69540,0,0,0,0,0,2,97839.2554475893,0,0
"Lakes",2343,46860,3354.73684210526,7141.9679144385,1276.36,10498.2856939271,195678.510895179,2,97839.2554475893,2.08790557933396,50979.2554475893
"MidCentral",3732,74640,838.684210526316,1785.49197860963,319.09,2624.57142348178,48919.6277237946,2,97839.2554475893,0,0
"Nelson Marlborough",1617,32340,0,0,0,0,0,3,146758.883171384,0,0
"Northland",2407,48140,6709.47368421053,14283.935828877,2552.72,20996.5713878543,391357.021790357,3,146758.883171384,5.08097504401689,196458.138618973
"South Canterbury",604,12080,0,0,0,0,0,3,146758.883171384,0,0
"Southern",6561,131220,8386.84210526316,17854.9197860963,3190.9,26245.7142348178,489196.277237946,2,97839.2554475893,2.98244948780946,260137.021790357
"Tairawhiti",1147,22940,838.684210526316,1785.49197860963,319.09,2624.57142348178,48919.6277237946,2,97839.2554475893,0,0
"Taranaki",2247,44940,0,0,0,0,0,3,146758.883171384,0,0
"Waikato",9232,184640,13418.9473684211,28567.871657754,5105.44,41993.1427757085,782714.043580714,2,97839.2554475893,3.70924386987178,500234.788133125
"Wairarapa",532,10640,0,0,0,0,0,3,146758.883171384,0,0
"Waitemata",13729,274580,40256.8421052632,85703.614973262,15316.32,125979.428327126,2348142.13074214,2,97839.2554475893,8.19543621274147,1975722.87529455
"West Coast",497,9940,1677.36842105263,3570.98395721925,638.18,5249.14284696356,97839.2554475893,2,97839.2554475893,0,-9940
"Whanganui",1075,21500,0,0,0,0,0,2,97839.2554475893,0,0
"TOTAL",104357,2087140,172768.947368421,367811.347593583,65732.54,540661.713237247,10077443.3111017,47,2299222.50301835,3.72673649495642,5691080.80808335
