"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,287180,0,66688.1254010695,11918.0115,0,613260.89098933,2,27256.0395995258,1.95035178464401,298824.851389804
"Bay of Plenty",3548,73621,0,2963.91668449198,529.6894,0,27256.0395995258,2,27256.0395995258,0.270190716418029,-73621
"Canterbury",10520,218290,0,50386.5836363636,9004.7198,0,463352.673191938,2,27256.0395995258,1.88702971527313,217806.633592412
"Capital and Coast",8250,171187.5,0,5927.83336898396,1059.3788,0,54512.0791990515,3,40884.0593992886,0.257045684737085,-157559.480200237
"Counties Manukau",16008,332166,0,38530.9168983957,6885.9622,0,354328.514793835,3,40884.0593992886,0.949814926619767,-18721.5446054537
"Hawke's Bay",2991,62063.25,0,7409.79171122995,1324.2235,0,68140.0989988144,2,27256.0395995258,0.762882231870955,-21179.1906007114
"Hutt Valley",3477,72147.75,0,0,0,0,0,2,27256.0395995258,0,-99403.7895995258
"Lakes",2343,48617.25,0,5927.83336898396,1059.3788,0,54512.0791990515,2,27256.0395995258,0.718462050173086,-21361.2104004742
"MidCentral",3732,77439,0,1481.95834224599,264.8447,0,13628.0197997629,2,27256.0395995258,0.130168724821081,-91067.0197997629
"Nelson Marlborough",1617,33552.75,0,0,0,0,0,3,40884.0593992886,0,-74436.8093992886
"Northland",2407,49945.25,0,11855.6667379679,2118.7576,0,109024.158398103,3,40884.0593992886,1.20031913838329,18194.8489988144
"South Canterbury",604,12533,0,0,0,0,0,3,40884.0593992886,0,-53417.0593992886
"Southern",6561,136140.75,0,14819.5834224599,2648.447,0,136280.197997629,2,27256.0395995258,0.834044526404969,-27116.591601897
"Tairawhiti",1147,23800.25,0,1481.95834224599,264.8447,0,13628.0197997629,2,27256.0395995258,0.266921468572394,-37428.2697997629
"Taranaki",2247,46625.25,0,0,0,0,0,3,40884.0593992886,0,-87509.3093992886
"Waikato",9232,191564,0,23711.3334759358,4237.5152,0,218048.316796206,2,27256.0395995258,0.996473253524988,-771.722803319659
"Wairarapa",532,11039,0,0,0,0,0,3,40884.0593992886,0,-51923.0593992886
"Waitemata",13729,284876.75,0,71134.0004278075,12712.5456,0,654144.950388618,2,27256.0395995258,2.09572647342787,342012.160789093
"West Coast",497,10312.75,0,2963.91668449198,529.6894,0,27256.0395995258,2,27256.0395995258,0.725496878927125,-10312.75
"Whanganui",1075,22306.25,0,0,0,0,0,2,27256.0395995258,0,-49562.2895995258
"TOTAL",104357,2165407.75,0,305283.418502674,54558.0082,0,2807372.07875115,47,640516.930588856,1.00051583642723,1447.39816229837
