"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",23965,710106.915,31324.8552631579,66688.1254010695,11918.0115,98027.7426670445,1827148.09548373,2,81206.5820214992,2.30900661035242,1035834.59846223
"Bay of Plenty",9821,291006.051,1392.21578947368,2963.91668449198,529.6894,4356.78856297976,81206.5820214992,2,81206.5820214992,0.218172557342536,-291006.051
"Canterbury",24095,713958.945,23667.6684210526,50386.5836363636,9004.7198,74065.4055706559,1380511.89436549,2,81206.5820214992,1.73613146879814,585346.367343987
"Capital and Coast",15207,450598.617,2784.43157894737,5927.83336898396,1059.3788,8713.57712595951,162413.164042998,3,121809.873032249,0.28373646944658,-409995.32598925
"Counties Manukau",26336,780362.016,18098.8052631579,38530.9168983957,6885.9622,56638.2513187368,1055685.56627949,3,121809.873032249,1.17016012038672,153513.677247241
"Hawke's Bay",7421,219891.651,3480.53947368421,7409.79171122995,1324.2235,10891.9714074494,203016.455053748,2,81206.5820214992,0.674253226319173,-98081.7779677513
"Hutt Valley",7144,211683.864,0,0,0,0,0,2,81206.5820214992,0,-292890.446021499
"Lakes",5008,148392.048,2784.43157894737,5927.83336898396,1059.3788,8713.57712595951,162413.164042998,2,81206.5820214992,0.707378628643343,-67185.4659785008
"MidCentral",8216,243448.296,696.107894736842,1481.95834224599,264.8447,2178.39428148988,40603.2910107496,2,81206.5820214992,0.12506601243201,-284051.58701075
"Nelson Marlborough",6160,182526.96,0,0,0,0,0,3,121809.873032249,0,-304336.833032249
"Northland",7128,211209.768,5568.86315789474,11855.6667379679,2118.7576,17427.154251919,324826.328085997,3,121809.873032249,0.975396907759388,-8193.31294625206
"South Canterbury",2474,73307.094,0,0,0,0,0,3,121809.873032249,0,-195116.967032249
"Southern",14898,441442.638,6961.07894736842,14819.5834224599,2648.447,21783.9428148988,406032.910107496,2,81206.5820214992,0.776874612174478,-116616.309914003
"Tairawhiti",2278,67499.418,696.107894736842,1481.95834224599,264.8447,2178.39428148988,40603.2910107496,2,81206.5820214992,0.273044066849215,-108102.70901075
"Taranaki",5410,160303.71,0,0,0,0,0,3,121809.873032249,0,-282113.583032249
"Waikato",18652,552677.412,11137.7263157895,23711.3334759358,4237.5152,34854.3085038381,649652.656171993,2,81206.5820214992,1.02487625858866,15768.6621504942
"Wairarapa",1872,55469.232,0,0,0,0,0,3,121809.873032249,0,-177279.105032249
"Waitemata",27394,811711.614,33413.1789473684,71134.0004278075,12712.5456,104562.925511514,1948957.96851598,2,81206.5820214992,2.18268367382341,1056039.77249448
"West Coast",1504,44565.024,1392.21578947368,2963.91668449198,529.6894,4356.78856297976,81206.5820214992,2,81206.5820214992,0.645667051493466,-44565.024
"Whanganui",2886,85515.066,0,0,0,0,0,2,81206.5820214992,0,-166721.648021499
"TOTAL",217871,6455735.601,143398.226315789,305283.418502674,54558.0082,448749.221986915,8364277.94821441,47,1908354.67750523,1.00002243755184,187.669709183276
