"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,856509.1,37740.7894736842,80347.1390374332,14359.05,118105.71405668,2201383.24757076,2,97839.2554475893,2.30668731706287,1247034.89212317
"Bay of Plenty",3548,351002.54,1677.36842105263,3570.98395721925,638.18,5249.14284696356,97839.2554475893,2,97839.2554475893,0.217981606080207,-351002.54
"Canterbury",10520,861155.3,28515.2631578947,60706.7272727273,10849.06,89235.4283983806,1663267.34260902,2,97839.2554475893,1.73438663771425,704272.787161428
"Capital and Coast",8250,543498.18,3354.73684210526,7141.9679144385,1276.36,10498.2856939271,195678.510895179,3,146758.883171384,0.283486430397589,-494578.552276205
"Counties Manukau",16008,941248.64,21805.7894736842,46422.7914438503,8296.34,68238.8570105263,1271910.32081866,3,146758.883171384,1.1690271378926,183902.797647277
"Hawke's Bay",2991,265226.54,4193.42105263158,8927.45989304813,1595.45,13122.8571174089,244598.138618973,2,97839.2554475893,0.673701961699343,-118467.656828616
"Hutt Valley",3477,255326.56,0,0,0,0,0,2,97839.2554475893,0,-353165.815447589
"Lakes",2343,178968.05,3354.73684210526,7141.9679144385,1276.36,10498.2856939271,195678.510895179,2,97839.2554475893,0.706912379276884,-81128.7945524107
"MidCentral",3732,293639.84,838.684210526316,1785.49197860963,319.09,2624.57142348178,48919.6277237946,2,97839.2554475893,0.124961021655226,-342559.467723795
"Nelson Marlborough",1617,220158.4,0,0,0,0,0,3,146758.883171384,0,-366917.283171384
"Northland",2407,254772.59,6709.47368421053,14283.935828877,2552.72,20996.5713878543,391357.021790357,3,146758.883171384,0.974660886976887,-10174.4513810268
"South Canterbury",604,88438.63,0,0,0,0,0,3,146758.883171384,0,-235197.513171384
"Southern",6561,532472.39,8386.84210526316,17854.9197860963,3190.9,26245.7142348178,489196.277237946,2,97839.2554475893,0.776118100896842,-141115.368209643
"Tairawhiti",1147,81433.59,838.684210526316,1785.49197860963,319.09,2624.57142348178,48919.6277237946,2,97839.2554475893,0.272878068073597,-130353.217723795
"Taranaki",2247,193371.27,0,0,0,0,0,3,146758.883171384,0,-340130.153171384
"Waikato",9232,666604.61,13418.9473684211,28567.871657754,5105.44,41993.1427757085,782714.043580714,2,97839.2554475893,1.02389996042735,18270.178133125
"Wairarapa",532,66905.28,0,0,0,0,0,3,146758.883171384,0,-213664.163171384
"Waitemata",13729,979061.56,40256.8421052632,85703.614973262,15316.32,125979.428327126,2348142.13074214,2,97839.2554475893,2.18046276598481,1271241.31529455
"West Coast",497,53770.83,1677.36842105263,3570.98395721925,638.18,5249.14284696356,97839.2554475893,2,97839.2554475893,0.645334742466139,-53770.83
"Whanganui",1075,103145.64,0,0,0,0,0,2,97839.2554475893,0,-200984.895447589
"TOTAL",104357,7786709.54,172768.947368421,367811.347593583,65732.54,540661.713237247,10077443.3111017,47,2299222.50301835,0.999158359199681,-8488.73191665299
