"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,758155.2,31324.8552631579,66688.1254010695,11918.0115,98027.7426670445,1827148.09548373,2,81206.5820214992,2.17683022341483,987786.313462232
"Bay of Plenty",3548,194359.44,1392.21578947368,2963.91668449198,529.6894,4356.78856297976,81206.5820214992,2,81206.5820214992,0.294690112466636,-194359.44
"Canterbury",10520,576285.6,23667.6684210526,50386.5836363636,9004.7198,74065.4055706559,1380511.89436549,2,81206.5820214992,2.09966282811306,723019.712343987
"Capital and Coast",8250,451935,2784.43157894737,5927.83336898396,1059.3788,8713.57712595951,162413.164042998,3,121809.873032249,0.283075582330946,-411331.70898925
"Counties Manukau",16008,876918.24,18098.8052631579,38530.9168983957,6885.9622,56638.2513187368,1055685.56627949,3,121809.873032249,1.05702998894695,56957.4532472406
"Hawke's Bay",2991,163846.98,3480.53947368421,7409.79171122995,1324.2235,10891.9714074494,203016.455053748,2,81206.5820214992,0.828457474272244,-42037.1069677512
"Hutt Valley",3477,190470.06,0,0,0,0,0,2,81206.5820214992,0,-271676.642021499
"Lakes",2343,128349.54,2784.43157894737,5927.83336898396,1059.3788,8713.57712595951,162413.164042998,2,81206.5820214992,0.775034212679006,-47142.9579785008
"MidCentral",3732,204438.96,696.107894736842,1481.95834224599,264.8447,2178.39428148988,40603.2910107496,2,81206.5820214992,0.142145719213407,-245042.25101075
"Nelson Marlborough",1617,88579.26,0,0,0,0,0,3,121809.873032249,0,-210389.133032249
"Northland",2407,131855.46,5568.86315789474,11855.6667379679,2118.7576,17427.154251919,324826.328085997,3,121809.873032249,1.28053102173288,71160.995053748
"South Canterbury",604,33087.12,0,0,0,0,0,3,121809.873032249,0,-154896.993032249
"Southern",6561,359411.58,6961.07894736842,14819.5834224599,2648.447,21783.9428148988,406032.910107496,2,81206.5820214992,0.921507430026646,-34585.2519140033
"Tairawhiti",1147,62832.66,696.107894736842,1481.95834224599,264.8447,2178.39428148988,40603.2910107496,2,81206.5820214992,0.281890479572846,-103435.95101075
"Taranaki",2247,123090.66,0,0,0,0,0,3,121809.873032249,0,-244900.533032249
"Waikato",9232,505728.96,11137.7263157895,23711.3334759358,4237.5152,34854.3085038381,649652.656171993,2,81206.5820214992,1.10685519901297,62717.1141504942
"Wairarapa",532,29142.96,0,0,0,0,0,3,121809.873032249,0,-150952.833032249
"Waitemata",13729,752074.62,33413.1789473684,71134.0004278075,12712.5456,104562.925511514,1948957.96851598,2,81206.5820214992,2.3388958778716,1115676.76649448
"West Coast",497,27225.66,1392.21578947368,2963.91668449198,529.6894,4356.78856297976,81206.5820214992,2,81206.5820214992,0.748915456395323,-27225.66
"Whanganui",1075,58888.5,0,0,0,0,0,2,81206.5820214992,0,-140095.082021499
"TOTAL",104357,5716676.46,143398.226315789,305283.418502674,54558.0082,448749.221986915,8364277.94821441,47,1908354.67750523,1.09695000549874,739246.810709183
