"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,1031495.2,37740.7894736842,80347.1390374332,14359.05,118105.71405668,2201383.24757076,2,97839.2554475893,2.03931534739393,1072048.79212317
"Bay of Plenty",3548,264432.44,1677.36842105263,3570.98395721925,638.18,5249.14284696356,97839.2554475893,2,97839.2554475893,0,-264432.44
"Canterbury",10520,784055.6,28515.2631578947,60706.7272727273,10849.06,89235.4283983806,1663267.34260902,2,97839.2554475893,1.9965779048851,781372.487161429
"Capital and Coast",8250,614872.5,3354.73684210526,7141.9679144385,1276.36,10498.2856939271,195678.510895179,3,146758.883171384,0.0795606043916335,-565952.872276205
"Counties Manukau",16008,1193076.24,21805.7894736842,46422.7914438503,8296.34,68238.8570105263,1271910.32081866,3,146758.883171384,0.943067508952552,-67924.8023527232
"Hawke's Bay",2991,222919.23,4193.42105263158,8927.45989304813,1595.45,13122.8571174089,244598.138618973,2,97839.2554475893,0.658350036339996,-76160.3468286161
"Hutt Valley",3477,259140.81,0,0,0,0,0,2,97839.2554475893,0,0
"Lakes",2343,174623.79,3354.73684210526,7141.9679144385,1276.36,10498.2856939271,195678.510895179,2,97839.2554475893,0.560285946419954,-76784.5345524107
"MidCentral",3732,278145.96,838.684210526316,1785.49197860963,319.09,2624.57142348178,48919.6277237946,2,97839.2554475893,0,0
"Nelson Marlborough",1617,120515.01,0,0,0,0,0,3,146758.883171384,0,0
"Northland",2407,179393.71,6709.47368421053,14283.935828877,2552.72,20996.5713878543,391357.021790357,3,146758.883171384,1.3634710972808,65204.4286189732
"South Canterbury",604,45016.12,0,0,0,0,0,3,146758.883171384,0,0
"Southern",6561,488991.33,8386.84210526316,17854.9197860963,3190.9,26245.7142348178,489196.277237946,2,97839.2554475893,0.800335297949674,-97634.3082096428
"Tairawhiti",1147,85485.91,838.684210526316,1785.49197860963,319.09,2624.57142348178,48919.6277237946,2,97839.2554475893,0,0
"Taranaki",2247,167468.91,0,0,0,0,0,3,146758.883171384,0,0
"Waikato",9232,688060.96,13418.9473684211,28567.871657754,5105.44,41993.1427757085,782714.043580714,2,97839.2554475893,0.995369346537442,-3186.17186687503
"Wairarapa",532,39649.96,0,0,0,0,0,3,146758.883171384,0,0
"Waitemata",13729,1023222.37,40256.8421052632,85703.614973262,15316.32,125979.428327126,2348142.13074214,2,97839.2554475893,2.19923150751146,1227080.50529455
"West Coast",497,37041.41,1677.36842105263,3570.98395721925,638.18,5249.14284696356,97839.2554475893,2,97839.2554475893,0,-37041.41
"Whanganui",1075,80119.75,0,0,0,0,0,2,97839.2554475893,0,0
"TOTAL",104357,7777727.21,172768.947368421,367811.347593583,65732.54,540661.713237247,10077443.3111017,47,2299222.50301835,1.00006346302333,493.598083348013
