"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,19149162.4,1720709.105,41033.54,654669.61393,0,21230861.3071229,2,17177.7671484469,1.10771598134907,2064521.1399745
"Bay of Plenty",3548,4909048.28,462285.252894737,11024.06,175883.36527,0,5703877.58164179,2,17177.7671484469,1.15785949062234,777651.534493344
"Canterbury",10520,14555577.2,1349335.54315789,32177.44,513374.96648,0,16648691.9202747,2,17177.7671484469,1.14245329437063,2075936.95312629
"Capital and Coast",8250,11414782.5,1033929.05605263,24655.98,393373.83291,0,12757068.7727941,3,25766.6507226703,1.11507486264226,1316519.62207142
"Counties Manukau",16008,22148828.88,1976180.70236842,47125.74,751867.61883,0,24382981.5788629,3,25766.6507226703,1.09959081531298,2208386.04814027
"Hawke's Bay",2991,4138377.51,386339.881578947,9213,146988.8085,0,4766830.38369401,2,17177.7671484469,1.14709829752644,611275.106545566
"Hutt Valley",3477,4810811.97,441262.794473684,10522.74,167885.05533,0,5444493.29770024,2,17177.7671484469,1.12769363526359,616503.560551795
"Lakes",2343,3241798.23,298560.676052632,7119.74,113591.89183,0,3683772.16498444,2,17177.7671484469,1.13034651627004,424796.167835989
"MidCentral",3732,5163632.52,476903.518684211,11372.66,181445.10397,0,5884244.13670048,2,17177.7671484469,1.13577680141984,703433.849552036
"Nelson Marlborough",1617,2237297.37,214818.896315789,5122.76,81731.07442,0,2650529.47100536,3,25766.6507226703,1.17121276584962,387465.450282685
"Northland",2407,3330349.27,315058.433157895,7513.16,119868.71122,0,3887328.70569353,3,25766.6507226703,1.15828201335086,531212.784970861
"South Canterbury",604,835700.44,80470.072631579,1918.96,30616.04732,0,992874.94118023,3,25766.6507226703,1.15253960583372,131407.85045756
"Southern",6561,9077865.21,840898.336842105,20052.8,319932.3976,0,10375371.3576619,2,17177.7671484469,1.14077210890925,1280328.38051348
"Tairawhiti",1147,1587000.67,144999.274473684,3457.78,55167.15101,0,1789064.44851074,2,17177.7671484469,1.11525277181194,184886.011362297
"Taranaki",2247,3108971.67,289441.662631579,6902.28,110122.42626,0,3571257.79016211,3,25766.6507226703,1.13925228353313,436519.469439439
"Waikato",9232,12773487.52,1169322.04157895,27884.68,444886.12706,0,14427606.6279805,2,17177.7671484469,1.12797937433926,1636941.3408321
"Wairarapa",532,736080.52,70376.5081578947,1678.26,26775.79917,0,868336.12935399,3,25766.6507226703,1.13977732375157,106488.95863132
"Waitemata",13729,18995581.69,1736649.97578947,41413.68,660734.55756,0,21427546.7409727,2,17177.7671484469,1.12700877477921,2414787.28382421
"West Coast",497,687654.17,65155.6989473684,1553.76,24789.46392,0,803919.502547315,2,17177.7671484469,1.14058325137727,99087.5653988677
"Whanganui",1075,1487380.75,139778.465263158,3333.28,53180.81576,0,1724647.82170407,2,17177.7671484469,1.14628165142606,220089.304555621
"TOTAL",104357,144389388.77,13212475.8960526,315076.3,5026884.82835,0,163021304.680548,47,403677.527988502,1.12589165247074,18228238.3825597
