"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,276800,20731435,494380,7887585.71,0,255793509.724373,2,20696.1049981288,924.034731283867,255496013.619374
"Bay of Plenty",3548,70960,5569701.84210526,132820,2119076.69,0,68721416.6462866,2,20696.1049981288,968.161225215452,68629760.5412885
"Canterbury",10520,210400,16257054.7368421,387680,6185240.56,0,200586649.641864,2,20696.1049981288,953.260235441378,200355553.536866
"Capital and Coast",8250,165000,12456976.5789474,297060,4739443.77,0,153699623.768603,3,31044.1574971932,931.324724915794,153503579.611106
"Counties Manukau",16008,320160,23809406.0526316,567780,9058646.01,0,293770862.395939,3,31044.1574971932,917.478192898681,293419658.238442
"Hawke's Bay",2991,59820,4654697.36842105,111000,1770949.5,0,57431691.3698073,2,20696.1049981288,959.72910840537,57351175.2648092
"Hutt Valley",3477,69540,5316419.21052632,126780,2022711.51,0,65596304.7915691,2,20696.1049981288,942.991209182787,65506068.686571
"Lakes",2343,46860,3597116.57894737,85780,1368577.01,0,44382797.1684871,2,20696.1049981288,946.694431572536,44315241.063489
"MidCentral",3732,74640,5745825.52631579,137020,2186085.59,0,70894507.6710901,2,20696.1049981288,949.541955601446,70799171.566092
"Nelson Marlborough",1617,32340,2588179.47368421,61720,984711.74,0,31934090.0121127,3,31044.1574971932,986.488740093244,31870705.8546155
"Northland",2407,48140,3795884.73684211,90520,1444201.34,0,46835285.6107654,3,31044.1574971932,972.252626781642,46756101.4532682
"South Canterbury",604,12080,969518.947368421,23120,368868.04,0,11962348.6889184,3,31044.1574971932,987.690772468645,11919224.5314212
"Southern",6561,131220,10131305.2631579,241600,3854607.2,0,125004474.188698,2,20696.1049981288,952.475065414568,124852558.0837
"Tairawhiti",1147,22940,1746979.21052632,41660,664664.47,0,21554993.3555511,2,20696.1049981288,938.722635159241,21511357.250553
"Taranaki",2247,44940,3487248.94736842,83160,1326776.22,0,43027202.2911097,3,31044.1574971932,956.745841869438,42951218.1336125
"Waikato",9232,184640,14088217.3684211,335960,5360073.82,0,173826585.879284,2,20696.1049981288,941.323059869397,173621249.774285
"Wairarapa",532,10640,847909.736842105,20220,322599.99,0,10461881.0765541,3,31044.1574971932,980.341815700836,10420196.9190569
"Waitemata",13729,274580,20923493.6842105,498960,7960657.32,0,258163213.746658,2,20696.1049981288,940.135908083838,257867937.64166
"West Coast",497,9940,785008.421052632,18720,298668.24,0,9685777.13912426,2,20696.1049981288,972.342156350718,9655141.03412614
"Whanganui",1075,21500,1684077.89473684,40160,640732.72,0,20778889.4181213,2,20696.1049981288,965.497363401077,20736693.3131232
"TOTAL",104357,2087140,159186456.578947,3796100,60564877.45,0,1964112104.58492,47,486358.467456026,940.821289476249,1961538606.11746
