"DHB","Population","Naïve","Outbreak","Vaccination","PC"
"Auckland",436347,47930,2715,13840,0.29
"Bay of Plenty",205998,19642,633,3548,0.18
"Canterbury",482178,48190,1937,10520,0.22
"Capital and Coast",283704,30414,1592,8250,0.27
"Counties Manukau",469299,52672,3186,16008,0.3
"Hawke's Bay",151695,14842,543,2991,0.2
"Hutt",138375,14288,655,3477,0.24
"Lakes",98196,10015,437,2343,0.23
"Midcentral",162561,16432,693,3732,0.23
"Nelson Marlborough",136995,12320,278,1617,0.13
"Northland",151686,14257,425,2407,0.17
"South Canterbury",55620,4949,103,604,0.12
"Southern",297420,29797,1210,6561,0.22
"Tairawhiti",43650,4557,217,1147,0.25
"Taranaki",109752,10821,410,2247,0.21
"Waikato",359313,37303,1744,9232,0.25
"Wairarapa",41112,3744,92,532,0.14
"Waitemata",525549,54788,2601,13729,0.25
"West Coast",32151,3009,88,497,0.17
"Whanganui",60120,5772,193,1075,0.19
"TOTAL",4241721,435742,19752,104357,0.24
